,generalElectionVote,Vote
1030,Green Party,Green Party
1031,Labour,Labour
1032,Liberal Democrat,Liberal Democrat
1033,Conservative,Conservative
1034,Brexit Party,Brexit Party
1035,Conservative,Conservative
1036,Labour,Labour
1037,Labour,Labour
1038,Conservative,Conservative
1039,Labour,Labour
1040,Conservative,Conservative
1041,Conservative,Conservative
1042,Labour,Labour
1043,Labour,Labour
1044,Brexit Party,Brexit Party
1045,Labour,Labour
1046,Labour,Labour
1047,Liberal Democrat,Liberal Democrat
1048,Conservative,Conservative
1049,Conservative,Conservative
1050,Conservative,Conservative
1051,Brexit Party,Brexit Party
1052,Conservative,Conservative
1053,Conservative,Conservative
1054,Liberal Democrat,Liberal Democrat
1055,Conservative,Conservative
1056,Labour,Labour
1057,Labour,Labour
1058,Labour,Labour
1059,Conservative,Conservative
1060,Labour,Labour
1061,Liberal Democrat,Liberal Democrat
1062,Conservative,Conservative
1063,Conservative,Conservative
1064,Labour,Labour
1065,Conservative,Conservative
1066,Conservative,Conservative
1067,Brexit Party,Brexit Party
1068,Brexit Party,Brexit Party
1069,Liberal Democrat,Liberal Democrat
1070,Conservative,Conservative
1071,Labour,Labour
1072,Liberal Democrat,Liberal Democrat
1073,Labour,Labour
1074,Labour,Labour
1075,Labour,Labour
1076,Conservative,Conservative
1077,Green Party,Green Party
1078,Green Party,Green Party
1079,Labour,Labour
1080,Labour,Labour
1081,Labour,Labour
1082,Labour,Labour
1083,Liberal Democrat,Liberal Democrat
1084,Labour,Labour
1085,Conservative,Conservative
1086,Labour,Labour
1087,Conservative,Conservative
1088,Liberal Democrat,Liberal Democrat
1089,Conservative,Conservative
1090,Labour,Labour
1091,Conservative,Conservative
1092,Labour,Labour
1093,Conservative,Conservative
1094,Conservative,Conservative
1095,Liberal Democrat,Liberal Democrat
1096,Conservative,Conservative
1097,Conservative,Conservative
1098,Labour,Labour
1099,Conservative,Conservative
1100,Labour,Labour
1101,Brexit Party,Brexit Party
1102,Brexit Party,Brexit Party
1103,Conservative,Conservative
1104,Liberal Democrat,Liberal Democrat
1105,Conservative,Conservative
1106,Liberal Democrat,Liberal Democrat
1107,Labour,Labour
1108,Labour,Labour
1109,Labour,Labour
1110,Conservative,Conservative
1111,Conservative,Conservative
1112,Labour,Labour
1113,Labour,Labour
1114,Conservative,Conservative
1115,Conservative,Conservative
1116,Brexit Party,Brexit Party
1117,Conservative,Conservative
1118,Liberal Democrat,Liberal Democrat
1119,Labour,Labour
1120,Labour,Labour
1121,Conservative,Conservative
1122,Labour,Labour
1123,Labour,Labour
1124,Conservative,Conservative
1125,Green Party,Green Party
1126,Liberal Democrat,Liberal Democrat
1127,Liberal Democrat,Liberal Democrat
1128,Conservative,Conservative
1129,Brexit Party,Brexit Party
1130,Conservative,Conservative
1131,Labour,Labour
1132,Labour,Labour
1133,Brexit Party,Brexit Party
1134,Labour,Labour
1135,Conservative,Conservative
1136,Liberal Democrat,Liberal Democrat
1137,Conservative,Conservative
1138,Conservative,Conservative
1139,Brexit Party,Brexit Party
1140,Labour,Labour
1141,Labour,Labour
1142,Brexit Party,Brexit Party
1143,Liberal Democrat,Liberal Democrat
1144,Conservative,Conservative
1145,Labour,Labour
1146,Conservative,Conservative
1147,Labour,Labour
1148,Conservative,Conservative
1149,Labour,Labour
1150,Conservative,Conservative
1151,Brexit Party,Brexit Party
1152,Conservative,Conservative
1153,Labour,Labour
1154,Brexit Party,Brexit Party
1155,Conservative,Conservative
1156,Liberal Democrat,Liberal Democrat
1157,Conservative,Conservative
1158,Brexit Party,Brexit Party
1159,Conservative,Conservative
1160,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
1161,Brexit Party,Brexit Party
1162,Labour,Labour
1163,Liberal Democrat,Liberal Democrat
1164,Liberal Democrat,Liberal Democrat
1165,Labour,Labour
1166,Liberal Democrat,Liberal Democrat
1167,Labour,Labour
1168,Conservative,Conservative
1169,Labour,Labour
1170,Conservative,Conservative
1171,Liberal Democrat,Liberal Democrat
1172,Brexit Party,Brexit Party
1173,Brexit Party,Brexit Party
1174,Conservative,Conservative
1175,Labour,Labour
1176,Green Party,Green Party
1177,Labour,Labour
1178,Green Party,Green Party
1179,Conservative,Conservative
1180,Brexit Party,Brexit Party
1181,Conservative,Conservative
1182,Liberal Democrat,Liberal Democrat
1183,Brexit Party,Brexit Party
1184,Conservative,Conservative
1185,Conservative,Conservative
1186,Brexit Party,Brexit Party
1187,Labour,Labour
1188,Labour,Labour
1189,Brexit Party,Brexit Party
1190,Labour,Labour
1191,Conservative,Conservative
1192,Labour,Labour
1193,Conservative,Conservative
1194,Labour,Labour
1195,Conservative,Conservative
1196,Labour,Labour
1197,Conservative,Conservative
1198,Conservative,Conservative
1199,Conservative,Conservative
1200,Conservative,Conservative
1201,Conservative,Conservative
1202,Brexit Party,Brexit Party
1203,Conservative,Conservative
1204,Conservative,Conservative
1205,Labour,Labour
1206,Green Party,Green Party
1207,Conservative,Conservative
1208,Labour,Labour
1209,Labour,Labour
1210,Labour,Labour
1211,Conservative,Conservative
1212,Conservative,Conservative
1213,Liberal Democrat,Liberal Democrat
1214,Brexit Party,Brexit Party
1215,Brexit Party,Brexit Party
1216,Green Party,Green Party
1217,Conservative,Conservative
1218,Conservative,Conservative
1219,Liberal Democrat,Liberal Democrat
1220,Brexit Party,Brexit Party
1221,Conservative,Conservative
1222,Conservative,Conservative
1223,Brexit Party,Brexit Party
1224,Brexit Party,Brexit Party
1225,Conservative,Conservative
1226,Liberal Democrat,Liberal Democrat
1227,Labour,Labour
1228,Labour,Labour
1229,Conservative,Conservative
1230,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
1231,Brexit Party,Brexit Party
1232,Labour,Labour
1233,Conservative,Conservative
1234,Conservative,Conservative
1235,Conservative,Conservative
1236,Labour,Labour
1237,Conservative,Conservative
1238,Conservative,Conservative
1239,Labour,Labour
1240,Liberal Democrat,Liberal Democrat
1241,Conservative,Conservative
1242,Brexit Party,Brexit Party
1243,Labour,Labour
1244,Liberal Democrat,Liberal Democrat
1245,Labour,Labour
1246,Conservative,Conservative
1247,Brexit Party,Brexit Party
1248,Liberal Democrat,Liberal Democrat
1249,Green Party,Green Party
1250,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
1251,Conservative,Conservative
1252,Labour,Labour
1253,Brexit Party,Brexit Party
1254,Labour,Labour
1255,Brexit Party,Brexit Party
1256,Green Party,Green Party
1257,Conservative,Conservative
1258,Conservative,Conservative
1259,Conservative,Conservative
1260,Labour,Labour
1261,Labour,Labour
1262,Labour,Labour
1263,Labour,Labour
1264,Labour,Labour
1265,Green Party,Green Party
1266,Liberal Democrat,Liberal Democrat
1267,Brexit Party,Brexit Party
1268,Liberal Democrat,Liberal Democrat
1269,Labour,Labour
1270,Labour,Labour
1271,Green Party,Green Party
1272,Conservative,Conservative
1273,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
1274,Labour,Labour
1275,Labour,Labour
1276,Labour,Labour
1277,Brexit Party,Brexit Party
1278,Conservative,Conservative
1279,Labour,Labour
1280,Labour,Labour
1281,Brexit Party,Brexit Party
1282,Conservative,Conservative
1283,Labour,Labour
1284,Brexit Party,Brexit Party
1285,Brexit Party,Brexit Party
1286,Labour,Labour
1287,Labour,Labour
1288,Liberal Democrat,Liberal Democrat
1289,Conservative,Conservative
1290,Labour,Labour
1291,Labour,Labour
1292,Conservative,Conservative
1293,Liberal Democrat,Liberal Democrat
1294,Labour,Labour
1295,Brexit Party,Brexit Party
1296,Conservative,Conservative
1297,Liberal Democrat,Liberal Democrat
1298,Conservative,Conservative
1299,Liberal Democrat,Liberal Democrat
1300,Labour,Labour
1301,Liberal Democrat,Liberal Democrat
1302,Conservative,Conservative
1303,Conservative,Conservative
1304,Conservative,Conservative
1305,Liberal Democrat,Liberal Democrat
1306,Labour,Labour
1307,Conservative,Conservative
1308,Liberal Democrat,Liberal Democrat
1309,Liberal Democrat,Liberal Democrat
1310,Conservative,Conservative
1311,Labour,Labour
1312,Conservative,Conservative
1313,Conservative,Conservative
1314,Conservative,Conservative
1315,Labour,Labour
1316,Conservative,Conservative
1317,Brexit Party,Brexit Party
1318,Brexit Party,Brexit Party
1319,Liberal Democrat,Liberal Democrat
1320,Conservative,Conservative
1321,Conservative,Conservative
1322,Liberal Democrat,Liberal Democrat
1323,Liberal Democrat,Liberal Democrat
1324,Conservative,Conservative
1325,Conservative,Conservative
1326,Liberal Democrat,Liberal Democrat
1327,Conservative,Conservative
1328,Liberal Democrat,Liberal Democrat
1329,Liberal Democrat,Liberal Democrat
1330,Labour,Labour
1331,Conservative,Conservative
1332,Conservative,Conservative
1333,Conservative,Conservative
1334,Labour,Labour
1335,Brexit Party,Brexit Party
1336,Conservative,Conservative
1337,Conservative,Conservative
1338,Conservative,Conservative
1339,Labour,Labour
1340,Brexit Party,Brexit Party
1341,Liberal Democrat,Liberal Democrat
1342,Conservative,Conservative
1343,Liberal Democrat,Liberal Democrat
1344,Labour,Labour
1345,Conservative,Conservative
1346,Conservative,Conservative
1347,Conservative,Conservative
1348,Brexit Party,Brexit Party
1349,Conservative,Conservative
1350,Liberal Democrat,Liberal Democrat
1351,Conservative,Conservative
1352,Labour,Labour
1353,Labour,Labour
1354,Conservative,Conservative
1355,Labour,Labour
1356,Brexit Party,Brexit Party
1357,Conservative,Conservative
1358,Green Party,Green Party
1359,Brexit Party,Brexit Party
1360,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
1361,Liberal Democrat,Liberal Democrat
1362,Labour,Labour
1363,Conservative,Conservative
1364,Labour,Labour
1365,Conservative,Conservative
1366,Green Party,Green Party
1367,Conservative,Conservative
1368,Liberal Democrat,Liberal Democrat
1369,Labour,Labour
1370,Labour,Labour
1371,Green Party,Green Party
1372,Conservative,Conservative
1373,Conservative,Conservative
1374,Conservative,Conservative
1375,Labour,Labour
1376,Labour,Labour
1377,Brexit Party,Brexit Party
1378,Brexit Party,Brexit Party
1379,Labour,Labour
1380,Conservative,Conservative
1381,Conservative,Conservative
1382,Labour,Labour
1383,Brexit Party,Brexit Party
1384,Labour,Labour
1385,Brexit Party,Brexit Party
1386,Brexit Party,Brexit Party
1387,Conservative,Conservative
1388,Labour,Labour
1389,Conservative,Conservative
1390,Conservative,Conservative
1391,Conservative,Conservative
1392,Brexit Party,Brexit Party
1393,Brexit Party,Brexit Party
1394,Liberal Democrat,Liberal Democrat
1395,Conservative,Conservative
1396,Conservative,Conservative
1397,Labour,Labour
1398,Conservative,Conservative
1399,Brexit Party,Brexit Party
1400,Brexit Party,Brexit Party
1401,Labour,Labour
1402,Conservative,Conservative
1403,Conservative,Conservative
1404,Labour,Labour
1405,Conservative,Conservative
1406,Liberal Democrat,Liberal Democrat
1407,Liberal Democrat,Liberal Democrat
1408,Conservative,Conservative
1409,Labour,Labour
1410,Brexit Party,Brexit Party
1411,Conservative,Conservative
1412,Brexit Party,Brexit Party
1413,Labour,Labour
1414,Liberal Democrat,Liberal Democrat
1415,Labour,Labour
1416,Brexit Party,Brexit Party
1417,Labour,Labour
1418,Labour,Labour
1419,Brexit Party,Brexit Party
1420,Liberal Democrat,Liberal Democrat
1421,Brexit Party,Brexit Party
1422,Conservative,Conservative
1423,Liberal Democrat,Liberal Democrat
1424,Green Party,Green Party
1425,Labour,Labour
1426,Liberal Democrat,Liberal Democrat
1427,Brexit Party,Brexit Party
1428,Conservative,Conservative
1429,Labour,Labour
1430,Labour,Labour
1431,Brexit Party,Brexit Party
1432,Conservative,Conservative
1433,Conservative,Conservative
1434,Liberal Democrat,Liberal Democrat
1435,Brexit Party,Brexit Party
1436,Conservative,Conservative
1437,Liberal Democrat,Liberal Democrat
1438,Liberal Democrat,Liberal Democrat
1439,Conservative,Conservative
1440,Conservative,Conservative
1441,Brexit Party,Brexit Party
1442,Conservative,Conservative
1443,Conservative,Conservative
1444,Labour,Labour
1445,Conservative,Conservative
1446,Brexit Party,Brexit Party
1447,Conservative,Conservative
1448,Liberal Democrat,Liberal Democrat
1449,Labour,Labour
1450,Conservative,Conservative
1451,Conservative,Conservative
1452,Liberal Democrat,Liberal Democrat
1453,Labour,Labour
1454,Conservative,Conservative
1455,Conservative,Conservative
1456,Conservative,Conservative
1457,Liberal Democrat,Liberal Democrat
1458,Conservative,Conservative
1459,Conservative,Conservative
1460,Conservative,Conservative
1461,Conservative,Conservative
1462,Brexit Party,Brexit Party
1463,Conservative,Conservative
1464,Conservative,Conservative
1465,Conservative,Conservative
1466,Conservative,Conservative
1467,Labour,Labour
1468,Liberal Democrat,Liberal Democrat
1469,Conservative,Conservative
1470,Conservative,Conservative
1471,Conservative,Conservative
1472,Conservative,Conservative
1473,Conservative,Conservative
1474,Conservative,Conservative
1475,Conservative,Conservative
1476,Conservative,Conservative
1477,Liberal Democrat,Liberal Democrat
1478,Liberal Democrat,Liberal Democrat
1479,Liberal Democrat,Liberal Democrat
1480,Conservative,Conservative
1481,Conservative,Conservative
1482,Liberal Democrat,Liberal Democrat
1483,Conservative,Conservative
1484,Green Party,Green Party
1485,Liberal Democrat,Liberal Democrat
1486,Liberal Democrat,Liberal Democrat
1487,Conservative,Conservative
1488,Conservative,Conservative
1489,Conservative,Conservative
1490,Liberal Democrat,Liberal Democrat
1491,Conservative,Conservative
1492,Liberal Democrat,Liberal Democrat
1493,Conservative,Conservative
1494,Conservative,Conservative
1495,Liberal Democrat,Liberal Democrat
1496,Green Party,Green Party
1497,Conservative,Conservative
1498,Conservative,Conservative
1499,Conservative,Conservative
1500,Conservative,Conservative
1501,Conservative,Conservative
1502,Liberal Democrat,Liberal Democrat
1503,Brexit Party,Brexit Party
1504,Conservative,Conservative
1505,Labour,Labour
1506,Labour,Labour
1507,Conservative,Conservative
1508,Brexit Party,Brexit Party
1509,Conservative,Conservative
1510,Brexit Party,Brexit Party
1511,Conservative,Conservative
1512,Conservative,Conservative
1513,Conservative,Conservative
1514,Conservative,Conservative
1515,Conservative,Conservative
1516,Conservative,Conservative
1517,Liberal Democrat,Liberal Democrat
1518,Conservative,Conservative
1519,Conservative,Conservative
1520,Green Party,Green Party
1521,Conservative,Conservative
1522,Conservative,Conservative
1523,Conservative,Conservative
1524,Conservative,Conservative
1525,Brexit Party,Brexit Party
1526,Labour,Labour
1527,Conservative,Conservative
1528,Liberal Democrat,Liberal Democrat
1529,Conservative,Conservative
1530,Liberal Democrat,Liberal Democrat
1531,Conservative,Conservative
1532,Conservative,Conservative
1533,Liberal Democrat,Liberal Democrat
1534,Brexit Party,Brexit Party
1535,Green Party,Green Party
1536,Liberal Democrat,Liberal Democrat
1537,Conservative,Conservative
1538,Liberal Democrat,Liberal Democrat
1539,Conservative,Conservative
1540,Liberal Democrat,Liberal Democrat
1541,Conservative,Conservative
1542,Conservative,Conservative
1543,Conservative,Conservative
